,Demographics,Race,Nationality,Economic Factors
(Intercept),294.532***,235.470***,237.312***,393.515***
,(54.083),(66.698),(65.971),(66.477)
diversity_index,-168.811***,-17.424,-8.618,-19.687
,(13.639),(18.736),(18.638),(17.810)
log(pop_density),-17.548***,-9.107*,-8.716*,-23.367***
,(3.984),(3.624),(3.586),(3.890)
pop_female,103.238,-137.398*,-132.230*,-169.126**
,(64.769),(59.241),(58.605),(56.656)
pop_white,,-26.169,-26.064,-45.475
,,(40.390),(39.949),(37.723)
pop_black,,132.002**,123.877**,34.882
,,(43.172),(42.740),(42.245)
pop_asian,,35.903,161.386**,105.429
,,(52.813),(59.414),(56.675)
pop_hispanic,,-1.191,51.646*,13.374
,,(22.026),(24.834),(27.751)
pop_foreign_born,,,-164.745***,-193.463***
,,,(37.167),(36.384)
pop_attend_col,,,,-24.178
,,,,(33.052)
pop_below_poverty,,,,68.469
,,,,(37.580)
pop_employed,,,,10.172
,,,,(42.208)
pop_rented,,,,113.712***
,,,,(19.283)
R-squared,0.246,0.416,0.429,0.495
N,848,848,848,848
